1 of 464



Result File: Babes in the Jungle.txt res
['conspicuous', 'ADJ', '1']
['looseness', 'INTJ', '1']
['waive', 'ADJ', '1']
['business', 'NOUN', '4']
['enter', 'VERB', '1']
['furtive', 'ADJ', '1']
['clandestine', 'ADJ', '1']
['way', 'NOUN', '4']
['ring', 'NOUN', '2']
['look', 'VERB', '1']
['confused', 'ADJ', '1']
['ashamed', 'ADJ', '1']
['embarrassment', 'NOUN', '1']
['beg', 'VERB', '2']
['thousand', 'NUM', '2']
['pardon', 'NOUN', '1']
['mention', 'VERB', '1']
['parent', 'NOUN', '1']
['hear', 'VERB', '1']
['old', 'ADJ', '1']
['feeble', 'ADJ', '1']
['seemingly', 'ADV', '1']
['wanton', 'NOUN', '1']
['breach', 'NOUN', '1']
['hallowed', 'ADJ', '1']
['conventionality', 'NOUN', '1']
['christian', 'ADJ', '1']
['civilization', 'NOUN', '1']
['rudely', 'ADV', '1']
['sunder', 'NOUN', '1']
['frail', 'NOUN', '2']
['bridge', 'NOUN', '1']
['hang', 'VERB', '1']
['darkl', 'NOUN', '1']
['pale', 'ADJ', '1']
['evanescent', 'ADJ', '1']
['present', 'ADJ', '1']
['solemn', 'ADJ', '1']
['great', 'ADJ', '1']
['deep', 'ADJ', '1']
['eternity', 'NOUN', '1']
['trouble', 'NOUN', '1']
['match', 'NOUN', '1']
['sentiment', 'NOUN', '1']
['honor', 'NOUN', '1']
['metaphor', 'NOUN', '1']
['hold', 'VERB', '1']
['spare', 'ADJ', '2']
['thigh', 'NOUN', '1']
['kind', 'ADJ', '2']
['box', 'NOUN', '1']
['seldom', 'ADV', '1']
['fact', 'NOUN', '2']
['trust', 'NOUN', '2']
['return', 'NOUN', '2']
['secondstory', 'NOUN', '1']
['window', 'NOUN', '8']
['redeem', 'NOUN', '2']
['pawnbroker', 'NOUN', '1']
['rate', 'NOUN', '3']
['cost', 'NOUN', '1']
['advertising', 'NOUN', '1']
['bade', 'NOUN', '1']
['goodnight', 'NOUN', '1']
['close', 'ADJ', '1']
['retire', 'NOUN', '1']
['headquarters', 'NOUN', '1']
['report', 'NOUN', '1']
['morning', 'NOUN', '9']
['send', 'VERB', '7']
['burglaralarm', 'NOUN', '1']
['reason', 'NOUN', '1']
['floor', 'NOUN', '1']
['attach', 'VERB', '3']
['simply', 'ADV', '2']
['idiotic', 'ADJ', '1']
['armor', 'NOUN', '1']
['battle', 'NOUN', '1']
['leg', 'NOUN', '1']
['expert', 'NOUN', '10']
['second', 'ADJ', '3']
['story', 'NOUN', '3']
['ladder', 'NOUN', '3']
['lot', 'NOUN', '1']
['miscellaneous', 'ADJ', '1']
